-------------
Broker Host: localhost
Storage Dir: /Users/nemanja/Desktop/clones
Worker Count: 5
-------------
bid consumer setup for master
Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=express jobId=0be52f6e-0445-4c53-8d0b-e7cd82a48535 correlationId=tensorflow/tensorflow destination=Repositories), cost=30380.291046619994, workerId='worker_fast_1', jobName='tensorflow/tensorflow'}
Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=express jobId=0be52f6e-0445-4c53-8d0b-e7cd82a48535 correlationId=tensorflow/tensorflow destination=Repositories), cost=148992.97398496277, workerId='worker_slow_2', jobName='tensorflow/tensorflow'}
Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=express jobId=0be52f6e-0445-4c53-8d0b-e7cd82a48535 correlationId=tensorflow/tensorflow destination=Repositories), cost=57471.58999371392, workerId='worker_slow_3', jobName='tensorflow/tensorflow'}
Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=express jobId=0be52f6e-0445-4c53-8d0b-e7cd82a48535 correlationId=tensorflow/tensorflow destination=Repositories), cost=149002.97398496277, workerId='worker_normal_4', jobName='tensorflow/tensorflow'}
About to send winning bid: Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=express jobId=0be52f6e-0445-4c53-8d0b-e7cd82a48535 correlationId=tensorflow/tensorflow destination=Repositories), cost=30380.291046619994, workerId='worker_fast_1', jobName='tensorflow/tensorflow'}
Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=async jobId=db28f4cc-c6b6-48e6-a990-d38f5d9b67f2 correlationId=tensorflow/tensorflow destination=Repositories), cost=149037.97398496277, workerId='worker_normal_4', jobName='tensorflow/tensorflow'}
Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=async jobId=db28f4cc-c6b6-48e6-a990-d38f5d9b67f2 correlationId=tensorflow/tensorflow destination=Repositories), cost=57507.58999371392, workerId='worker_normal_5', jobName='tensorflow/tensorflow'}
Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=async jobId=db28f4cc-c6b6-48e6-a990-d38f5d9b67f2 correlationId=tensorflow/tensorflow destination=Repositories), cost=30523.291046619994, workerId='worker_fast_1', jobName='tensorflow/tensorflow'}
Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=async jobId=db28f4cc-c6b6-48e6-a990-d38f5d9b67f2 correlationId=tensorflow/tensorflow destination=Repositories), cost=149051.97398496277, workerId='worker_slow_2', jobName='tensorflow/tensorflow'}
Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=async jobId=db28f4cc-c6b6-48e6-a990-d38f5d9b67f2 correlationId=tensorflow/tensorflow destination=Repositories), cost=57431.58999371392, workerId='worker_slow_3', jobName='tensorflow/tensorflow'}
About to send winning bid: Bid{job=Repository ( path=tensorflow/tensorflow size=1170071 technologies=[] library=async jobId=db28f4cc-c6b6-48e6-a990-d38f5d9b67f2 correlationId=tensorflow/tensorflow destination=Repositories), cost=30523.291046619994, workerId='worker_fast_1', jobName='tensorflow/tensorflow'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=express jobId=0c8aa30f-c1d6-4053-99fc-d5075f73d422 correlationId=microsoft/vscode destination=Repositories), cost=145897.75671170908, workerId='worker_normal_4', jobName='microsoft/vscode'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=express jobId=0c8aa30f-c1d6-4053-99fc-d5075f73d422 correlationId=microsoft/vscode destination=Repositories), cost=54310.37272046025, workerId='worker_normal_5', jobName='microsoft/vscode'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=express jobId=0c8aa30f-c1d6-4053-99fc-d5075f73d422 correlationId=microsoft/vscode destination=Repositories), cost=145918.75671170908, workerId='worker_slow_2', jobName='microsoft/vscode'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=express jobId=0c8aa30f-c1d6-4053-99fc-d5075f73d422 correlationId=microsoft/vscode destination=Repositories), cost=57769.364819986324, workerId='worker_fast_1', jobName='microsoft/vscode'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=express jobId=0c8aa30f-c1d6-4053-99fc-d5075f73d422 correlationId=microsoft/vscode destination=Repositories), cost=54272.37272046025, workerId='worker_slow_3', jobName='microsoft/vscode'}
About to send winning bid: Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=express jobId=0c8aa30f-c1d6-4053-99fc-d5075f73d422 correlationId=microsoft/vscode destination=Repositories), cost=54272.37272046025, workerId='worker_slow_3', jobName='microsoft/vscode'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=async jobId=c9c3db4f-5ec6-4845-8d1c-73d7ec61670b correlationId=microsoft/vscode destination=Repositories), cost=54320.37272046025, workerId='worker_normal_5', jobName='microsoft/vscode'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=async jobId=c9c3db4f-5ec6-4845-8d1c-73d7ec61670b correlationId=microsoft/vscode destination=Repositories), cost=54417.37272046025, workerId='worker_slow_3', jobName='microsoft/vscode'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=async jobId=c9c3db4f-5ec6-4845-8d1c-73d7ec61670b correlationId=microsoft/vscode destination=Repositories), cost=145867.75671170908, workerId='worker_normal_4', jobName='microsoft/vscode'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=async jobId=c9c3db4f-5ec6-4845-8d1c-73d7ec61670b correlationId=microsoft/vscode destination=Repositories), cost=57754.364819986324, workerId='worker_fast_1', jobName='microsoft/vscode'}
Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=async jobId=c9c3db4f-5ec6-4845-8d1c-73d7ec61670b correlationId=microsoft/vscode destination=Repositories), cost=145856.75671170908, workerId='worker_slow_2', jobName='microsoft/vscode'}
About to send winning bid: Bid{job=Repository ( path=microsoft/vscode size=1028472 technologies=[] library=async jobId=c9c3db4f-5ec6-4845-8d1c-73d7ec61670b correlationId=microsoft/vscode destination=Repositories), cost=54320.37272046025, workerId='worker_normal_5', jobName='microsoft/vscode'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=express jobId=ddb42c58-61e1-417a-8a16-4d4b9f1631ba correlationId=vercel/next.js destination=Repositories), cost=108140.94516798164, workerId='worker_normal_5', jobName='vercel/next.js'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=express jobId=ddb42c58-61e1-417a-8a16-4d4b9f1631ba correlationId=vercel/next.js destination=Repositories), cost=172421.25538586415, workerId='worker_normal_4', jobName='vercel/next.js'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=express jobId=ddb42c58-61e1-417a-8a16-4d4b9f1631ba correlationId=vercel/next.js destination=Repositories), cost=108070.94516798164, workerId='worker_slow_3', jobName='vercel/next.js'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=express jobId=ddb42c58-61e1-417a-8a16-4d4b9f1631ba correlationId=vercel/next.js destination=Repositories), cost=84275.86349414138, workerId='worker_fast_1', jobName='vercel/next.js'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=express jobId=ddb42c58-61e1-417a-8a16-4d4b9f1631ba correlationId=vercel/next.js destination=Repositories), cost=172433.25538586415, workerId='worker_slow_2', jobName='vercel/next.js'}
About to send winning bid: Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=express jobId=ddb42c58-61e1-417a-8a16-4d4b9f1631ba correlationId=vercel/next.js destination=Repositories), cost=84275.86349414138, workerId='worker_fast_1', jobName='vercel/next.js'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=async jobId=690d9303-38a4-4d43-96d1-aee834b3fbb5 correlationId=vercel/next.js destination=Repositories), cost=108029.94516798164, workerId='worker_slow_3', jobName='vercel/next.js'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=async jobId=690d9303-38a4-4d43-96d1-aee834b3fbb5 correlationId=vercel/next.js destination=Repositories), cost=172416.25538586415, workerId='worker_normal_4', jobName='vercel/next.js'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=async jobId=690d9303-38a4-4d43-96d1-aee834b3fbb5 correlationId=vercel/next.js destination=Repositories), cost=84487.86349414138, workerId='worker_fast_1', jobName='vercel/next.js'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=async jobId=690d9303-38a4-4d43-96d1-aee834b3fbb5 correlationId=vercel/next.js destination=Repositories), cost=172437.25538586415, workerId='worker_slow_2', jobName='vercel/next.js'}
Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=async jobId=690d9303-38a4-4d43-96d1-aee834b3fbb5 correlationId=vercel/next.js destination=Repositories), cost=108122.94516798164, workerId='worker_normal_5', jobName='vercel/next.js'}
